Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 16}",0.594906339,0.637310865,0.615187754,0.680030426,0.624602328
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 16}",0.594483773,0.637290292,0.614678778,0.68197734,0.623259814
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 12}",0.593973214,0.654839116,0.622400224,0.702376483,0.640207191
"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 5}",0.593837496,0.577757614,0.585158244,0.602752826,0.574648482
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 14}",0.59311466,0.647913959,0.619003693,0.693985003,0.63336549
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 10}",0.592424137,0.656111312,0.622167794,0.702305019,0.640212109
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 12}",0.592012011,0.658497242,0.623274276,0.696211299,0.640107063
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 12}",0.589974248,0.66515636,0.624696309,0.705602925,0.645603097
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 12}",0.589751034,0.650427288,0.618309664,0.691958138,0.634479376
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 14}",0.587317054,0.654774425,0.619042441,0.693011451,0.636845736
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 10}",0.586628023,0.668226465,0.624010119,0.701185712,0.647175626
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 16}",0.586459493,0.624825552,0.604288105,0.660143426,0.61124226
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 10}",0.584842308,0.661510527,0.620289805,0.698126607,0.642119573
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 12}",0.584642459,0.651978958,0.616194571,0.689765922,0.634151124
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 18}",0.583344436,0.634745004,0.607254329,0.673888442,0.618544748
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 14}",0.583095868,0.647517748,0.613500737,0.681183677,0.629771498
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 10}",0.581278337,0.672324425,0.622546891,0.706514177,0.648300483
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 14}",0.579094416,0.6382874,0.606906629,0.679601981,0.621463575
