Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 70}",0.652852569,0.632846482,0.642328984,0.682533319,0.634937389
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 16, 'min_samples_split': 220}",0.665780107,0.627771033,0.643743755,0.68251051,0.632468001
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 280}",0.642603106,0.632595782,0.636516433,0.68243475,0.631912382
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 16, 'min_samples_split': 120}",0.64528466,0.634650728,0.639451238,0.682400724,0.63415289
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 16, 'min_samples_split': 170}",0.6673784,0.628574875,0.646037322,0.6823893,0.632021715
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 50}",0.648837695,0.630762177,0.639225295,0.6823364,0.63246737
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 17, 'min_samples_split': 190}",0.674938852,0.624370394,0.647364896,0.682209665,0.630225854
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 16, 'min_samples_split': 160}",0.669361975,0.62999024,0.648610739,0.682199138,0.636067668
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 16, 'min_samples_split': 280}",0.709047387,0.621856179,0.66112235,0.682146373,0.634709139
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 17, 'min_samples_split': 120}",0.648414632,0.630575686,0.638987487,0.682104355,0.632138362
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 19, 'min_samples_split': 140}",0.678721067,0.626903066,0.651084054,0.682059561,0.635164252
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 18, 'min_samples_split': 80}",0.683845052,0.621678449,0.649952417,0.68196774,0.630785886
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 140}",0.670027144,0.626602244,0.647182962,0.681904421,0.632016923
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 15, 'min_samples_split': 90}",0.674028098,0.631583877,0.650964366,0.681881462,0.636618368
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 130}",0.63725342,0.634825882,0.635644691,0.681845734,0.633484281
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 16, 'min_samples_split': 140}",0.640132338,0.629361003,0.633229842,0.681826647,0.631008966
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 17, 'min_samples_split': 300}",0.632273107,0.632082598,0.629060258,0.681819893,0.634143306
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 16, 'min_samples_split': 160}",0.667383869,0.632963712,0.64834274,0.681803781,0.636181036
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 100}",0.638586243,0.623541122,0.630289651,0.681801854,0.624725154
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 400}",0.641494492,0.634336151,0.63613274,0.68178692,0.633035095
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 16, 'min_samples_split': 150}",0.651967666,0.635344552,0.642758106,0.681770373,0.636175109
